Nb_FPGA,Module,REG%,REG,LUT%,LUT,RAMLUT%,RAMLUT,LUT6%,LUT6,MUXCY%,MUXCY,BRAM%,BRAM,URAM%,URAM,DSP%,DSP,IOs,Path
1,xcvup_fifo2048x288_pf1024_fwft_async_co...(8)*, 1%,473, 1%,121, 0%,0, 1%,17, 0%,0,20%,16, 0%,0, 0%,0,585,fx_top.design.zkprctrl.wrapper.sib_bridge_rx_srcconn1.u_xst_wrapper_0.sib_bridge_rx_fifo_data_async.genblk1_fifo_optimize_0_socket_type_mgt_fifo2048x288_pf1024_fwft_async_0.u_xst_wrapper_0.genblk1_device_8P_xcvup_fifo2048x288_pf1024_fwft_async_core_0.U0.inst_fifo_gen.gconvfifo_rf_0
1,xcvup_fifo2048x288_pf1024_fwft_async_co...(9)*, 1%,473, 1%,121, 0%,0, 1%,17, 0%,0,20%,16, 0%,0, 0%,0,585,fx_top.design.zkprctrl.wrapper.sib_bridge_rx_srcconn1.u_xst_wrapper_0.sib_bridge_rx_fifo_data_async.genblk1_fifo_optimize_0_socket_type_mgt_fifo2048x288_pf1024_fwft_async_0.u_xst_wrapper_0.genblk1_device_8P_xcvup_fifo2048x288_pf1024_fwft_async_core_0.U0.inst_fifo_gen.gconvfifo_rf_0.grf_rf_0
1,xcvup_fifo2048x288_pf1024_fwft_async_co...(10)*, 1%,473, 1%,121, 0%,0, 1%,17, 0%,0,20%,16, 0%,0, 0%,0,584,fx_top.design.zkprctrl.wrapper.sib_bridge_rx_srcconn1.u_xst_wrapper_0.sib_bridge_rx_fifo_data_async.genblk1_fifo_optimize_0_socket_type_mgt_fifo2048x288_pf1024_fwft_async_0.u_xst_wrapper_0.genblk1_device_8P_xcvup_fifo2048x288_pf1024_fwft_async_core_0
1,sib_bridge_rx_fifo_data_async_140e5972, 1%,473, 1%,121, 0%,0, 1%,17, 0%,0,20%,16, 0%,0, 0%,0,584,fx_top.design.zkprctrl.wrapper.sib_bridge_rx_srcconn1.u_xst_wrapper_0.sib_bridge_rx_fifo_data_async
1,fifo2048x288_pf1024_fwft_async_DEVICE_8...(11)*, 1%,473, 1%,121, 0%,0, 1%,17, 0%,0,20%,16, 0%,0, 0%,0,584,fx_top.design.zkprctrl.wrapper.sib_bridge_rx_srcconn1.u_xst_wrapper_0.sib_bridge_rx_fifo_data_async.genblk1_fifo_optimize_0_socket_type_mgt_fifo2048x288_pf1024_fwft_async_0.u_xst_wrapper_0
1,fifo2048x288_pf1024_fwft_async_20ab2f7e, 1%,473, 1%,121, 0%,0, 1%,17, 0%,0,20%,16, 0%,0, 0%,0,584,fx_top.design.zkprctrl.wrapper.sib_bridge_rx_srcconn1.u_xst_wrapper_0.sib_bridge_rx_fifo_data_async.genblk1_fifo_optimize_0_socket_type_mgt_fifo2048x288_pf1024_fwft_async_0
1,xcvup_fifo2048x288_pf1024_fwft_async_co...(12)*, 1%,288, 0%,0, 0%,0, 0%,0, 0%,0,20%,16, 0%,0, 0%,0,604,fx_top.design.zkprctrl.wrapper.sib_bridge_rx_srcconn1.u_xst_wrapper_0.sib_bridge_rx_fifo_data_async.genblk1_fifo_optimize_0_socket_type_mgt_fifo2048x288_pf1024_fwft_async_0.u_xst_wrapper_0.genblk1_device_8P_xcvup_fifo2048x288_pf1024_fwft_async_core_0.U0.inst_fifo_gen.gconvfifo_rf_0.grf_rf_0.gntv_or_sync_fifo_mem_0
1,xcvup_fifo2048x288_pf1024_fwft_async_co...(13)*, 0%,0, 0%,0, 0%,0, 0%,0, 0%,0,20%,16, 0%,0, 0%,0,603,fx_top.design.zkprctrl.wrapper.sib_bridge_rx_srcconn1.u_xst_wrapper_0.sib_bridge_rx_fifo_data_async.genblk1_fifo_optimize_0_socket_type_mgt_fifo2048x288_pf1024_fwft_async_0.u_xst_wrapper_0.genblk1_device_8P_xcvup_fifo2048x288_pf1024_fwft_async_core_0.U0.inst_fifo_gen.gconvfifo_rf_0.grf_rf_0.gntv_or_sync_fifo_mem_0.gbm_gbmg_gbmga_ngecc_bmg_0.inst_blk_mem_gen
1,xcvup_fifo2048x288_pf1024_fwft_async_co...(14)*, 0%,0, 0%,0, 0%,0, 0%,0, 0%,0,20%,16, 0%,0, 0%,0,603,fx_top.design.zkprctrl.wrapper.sib_bridge_rx_srcconn1.u_xst_wrapper_0.sib_bridge_rx_fifo_data_async.genblk1_fifo_optimize_0_socket_type_mgt_fifo2048x288_pf1024_fwft_async_0.u_xst_wrapper_0.genblk1_device_8P_xcvup_fifo2048x288_pf1024_fwft_async_core_0.U0.inst_fifo_gen.gconvfifo_rf_0.grf_rf_0.gntv_or_sync_fifo_mem_0.gbm_gbmg_gbmga_ngecc_bmg_0
1,xcvup_fifo2048x288_pf1024_fwft_async_co...(15)*, 0%,0, 0%,0, 0%,0, 0%,0, 0%,0,20%,16, 0%,0, 0%,0,603,fx_top.design.zkprctrl.wrapper.sib_bridge_rx_srcconn1.u_xst_wrapper_0.sib_bridge_rx_fifo_data_async.genblk1_fifo_optimize_0_socket_type_mgt_fifo2048x288_pf1024_fwft_async_0.u_xst_wrapper_0.genblk1_device_8P_xcvup_fifo2048x288_pf1024_fwft_async_core_0.U0.inst_fifo_gen.gconvfifo_rf_0.grf_rf_0.gntv_or_sync_fifo_mem_0.gbm_gbmg_gbmga_ngecc_bmg_0.inst_blk_mem_gen.gnbram_gnativebmg_native_blk_mem_gen_0
1,xcvup_fifo2048x288_pf1024_fwft_async_co...(16)*, 0%,0, 0%,0, 0%,0, 0%,0, 0%,0,20%,16, 0%,0, 0%,0,603,fx_top.design.zkprctrl.wrapper.sib_bridge_rx_srcconn1.u_xst_wrapper_0.sib_bridge_rx_fifo_data_async.genblk1_fifo_optimize_0_socket_type_mgt_fifo2048x288_pf1024_fwft_async_0.u_xst_wrapper_0.genblk1_device_8P_xcvup_fifo2048x288_pf1024_fwft_async_core_0.U0.inst_fifo_gen.gconvfifo_rf_0.grf_rf_0.gntv_or_sync_fifo_mem_0.gbm_gbmg_gbmga_ngecc_bmg_0.inst_blk_mem_gen.gnbram_gnativebmg_native_blk_mem_gen_0.valid_cstr_0
1,prdbox_wrapper, 9%,10078, 6%,8098, 5%,976, 2%,455, 0%,0, 0%,0, 0%,0, 0%,0,3155,fx_top.design.U0_M0_F0.U0_M0_F0_core.prdbox_wrapper
1,cahs_zpt_wrapper_0, 3%,2773, 3%,4013, 0%,0, 1%,3, 0%,0,10%,8, 0%,0, 0%,0,2592,fx_top.design.U0_M0_F0.U0_M0_F0_core.zcahsrash.zins_cahs.wrapper
1,cahs, 3%,2773, 3%,4013, 0%,0, 1%,3, 0%,0,10%,8, 0%,0, 0%,0,2432,fx_top.design.U0_M0_F0.U0_M0_F0_core.zcahsrash.zins_cahs
1,qiwc_ip, 1%,623, 2%,1644, 2%,364, 2%,298, 0%,0,10%,8, 0%,0, 0%,0,248,fx_top.wc_ip_top.wrapper.qiwc_ip_cluster.cluster_qiwc_ip[0]_qiwc_ip_0
1,qiwc_ip_DATA_WIDTH_32768_BUS_WIDTH_32_D...(17)*, 1%,623, 2%,1644, 2%,364, 2%,298, 0%,0,10%,8, 0%,0, 0%,0,248,fx_top.wc_ip_top.wrapper.qiwc_ip_cluster.cluster_qiwc_ip[0]_qiwc_ip_0.u.xst_wrapper
1,srb_bridge_DEVICE_8P_13636c20, 2%,1705, 2%,1642, 0%,0, 2%,325, 0%,0,10%,8, 0%,0, 0%,0,751,fx_top.design.zkprctrl.wrapper.srb_bridge.u_xst_wrapper_0
1,fx_macro_zs5_12c_f00_DEVICE_8P_DATARATE...(18)*, 2%,1705, 2%,1642, 0%,0, 2%,325, 0%,0,10%,8, 0%,0, 0%,0,751,fx_top.design.zkprctrl.wrapper.srb_bridge
