Nb_FPGA,Module,LUT,LUT%,LUT6,LUT6%,RAM,RAM%,URAM,URAM%,REG,REG%,RAMLUT,RAMLUT%,FWC_IP_BITS,FWC_IP_BITS%,QIWC_IP_BITS,QIWC_IP_BITS%,ZCEI_MESSAGE_INPUT,ZCEI_MESSAGE_INPUT%,ZCEI_MESSAGE_OUTPUT,ZCEI_MESSAGE_OUTPUT%,ZRM_SLOTS,ZRM_SLOTS%,ZRM_PORTS,ZRM_PORTS%,IOs,Path
1,cpu_top_safety_controller,65312, 2%,28204, 1%,3, 1%,0, 0%,17770, 1%,0, 0%,328, 1%,16272, 2%,0, 0%,0, 0%,0, 0%,0, 0%,1470,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller
1,rl_srams,62505, 2%,1699, 1%,2, 1%,98,31%,57700, 1%,0, 0%,0, 0%,777, 1%,0, 0%,0, 0%,0, 0%,0, 0%,620,zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams
1,zebu_axi_xtor,24429, 1%,6900, 1%,25, 2%,0, 0%,30809, 1%,5736, 1%,0, 0%,5396, 1%,45, 9%,24, 5%,0, 0%,0, 0%,1229,zebu_top.core_chip_dut.icore_sys.izebu_axi_xtor
1,xtor_amba_master_axi3_svs,24429, 1%,6900, 1%,25, 2%,0, 0%,30808, 1%,5736, 1%,0, 0%,5395, 1%,45, 9%,24, 5%,0, 0%,0, 0%,1231,zebu_top.core_chip_dut.icore_sys.izebu_axi_xtor.master_node_i
1,rl_cpu_top,32202, 1%,13917, 1%,2, 1%,0, 0%,8976, 1%,0, 0%,325, 1%,8127, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1551,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top
1,rl_cpu_top,31763, 1%,13838, 1%,2, 1%,0, 0%,8609, 1%,0, 0%,0, 0%,7984, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1237,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top
1,rl_core,29160, 1%,12866, 1%,2, 1%,0, 0%,8233, 1%,0, 0%,320, 1%,7439, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1944,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top.u_rl_core
1,rl_core,28724, 1%,12786, 1%,2, 1%,0, 0%,7871, 1%,0, 0%,0, 0%,7296, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1634,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top.u_rl_core
1,alb_mss_mem,7679, 1%,4983, 1%,6, 1%,0, 0%,4629, 1%,0, 0%,0, 0%,4571, 1%,0, 0%,0, 0%,32768,25%,1,13%,374,zebu_top.core_chip_dut.icore_sys.ialb_mss_mem
1,mss_bus_switch_ibp_dw128_mst,17134, 1%,5740, 1%,3, 1%,0, 0%,12034, 1%,0, 0%,0, 0%,11246, 2%,0, 0%,0, 0%,0, 0%,0, 0%,1863,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_7
1,mss_bus_switch_ibp_dw64_mst,15661, 1%,5431, 1%,2, 1%,0, 0%,11330, 1%,0, 0%,0, 0%,10588, 2%,0, 0%,0, 0%,0, 0%,0, 0%,1708,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_5
1,iccm0_ram,20273, 1%,532, 1%,1, 1%,32,10%,18578, 1%,0, 0%,0, 0%,155, 1%,0, 0%,0, 0%,0, 0%,0, 0%,124,zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_iccm0_even
1,dccm_ram,20273, 1%,532, 1%,1, 1%,32,10%,18578, 1%,0, 0%,0, 0%,155, 1%,0, 0%,0, 0%,0, 0%,0, 0%,124,zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_odd
1,dccm_ram,20273, 1%,532, 1%,1, 1%,32,10%,18578, 1%,0, 0%,0, 0%,155, 1%,0, 0%,0, 0%,0, 0%,0, 0%,124,zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_even
1,fpga_sram_0002,20267, 1%,532, 1%,1, 1%,32,10%,18578, 1%,0, 0%,0, 0%,155, 1%,0, 0%,0, 0%,0, 0%,0, 0%,123,zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_iccm0_even.u_iccm0_sram
1,fpga_sram_0002_0000,20267, 1%,532, 1%,1, 1%,32,10%,18578, 1%,0, 0%,0, 0%,155, 1%,0, 0%,0, 0%,0, 0%,0, 0%,123,zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_odd.u_DCCM_sram
1,fpga_sram_0002_0000,20267, 1%,532, 1%,1, 1%,32,10%,18578, 1%,0, 0%,0, 0%,155, 1%,0, 0%,0, 0%,0, 0%,0, 0%,123,zebu_top.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_even.u_DCCM_sram
1,alb_mss_mem_model,78, 1%,61, 1%,1, 1%,0, 0%,41, 1%,0, 0%,0, 0%,174, 1%,0, 0%,0, 0%,32768,25%,1,13%,331,zebu_top.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst
1,alb_mss_fpga_sram_0000,56, 1%,56, 1%,1, 1%,0, 0%,39, 1%,0, 0%,0, 0%,157, 1%,0, 0%,0, 0%,32768,25%,1,13%,330,zebu_top.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst.u_alb_mss_mem_ram
1,mss_bus_switch_ibp_dw32_mst,8807, 1%,4031, 1%,2, 1%,0, 0%,6370, 1%,0, 0%,0, 0%,5953, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1533,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_2
1,mss_bus_switch_ibp_dw32_mst,8807, 1%,4031, 1%,2, 1%,0, 0%,6370, 1%,0, 0%,0, 0%,5953, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1533,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_1
1,mss_bus_switch_ibp_dw32_mst,8807, 1%,4031, 1%,2, 1%,0, 0%,6370, 1%,0, 0%,0, 0%,5953, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1533,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_0
1,mss_bus_switch_ibp_dw32_mst,8764, 1%,4018, 1%,2, 1%,0, 0%,6354, 1%,0, 0%,0, 0%,5938, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1473,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_6
1,mss_bus_switch_ibp_dw32_mst,8761, 1%,4018, 1%,2, 1%,0, 0%,6354, 1%,0, 0%,0, 0%,5938, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1469,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_3
1,rl_exu,8766, 1%,3281, 1%,1, 1%,0, 0%,2914, 1%,0, 0%,3, 1%,2630, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1857,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top.u_rl_core.u_rl_exu
1,rl_exu,8696, 1%,3249, 1%,1, 1%,0, 0%,2879, 1%,0, 0%,0, 0%,2630, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1783,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top.u_rl_core.u_rl_exu
1,mss_bus_switch_ibpw2ibpn_0000,5003, 1%,2998, 1%,1, 1%,0, 0%,3995, 1%,0, 0%,0, 0%,3733, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1166,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_2.u_ibp_dw32_in_3_ibp512toibp32.x_w_gt_y_w_u_ibpw2ibpn
1,mss_bus_switch_ibpx2ibpy_0001,5003, 1%,2998, 1%,1, 1%,0, 0%,3995, 1%,0, 0%,0, 0%,3733, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1166,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_2.u_ibp_dw32_in_3_ibp512toibp32
1,mss_bus_switch_ibpw2ibpn_0000,5003, 1%,2998, 1%,1, 1%,0, 0%,3995, 1%,0, 0%,0, 0%,3733, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1166,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_1.u_ibp_dw32_in_3_ibp512toibp32.x_w_gt_y_w_u_ibpw2ibpn
1,mss_bus_switch_ibpx2ibpy_0001,5003, 1%,2998, 1%,1, 1%,0, 0%,3995, 1%,0, 0%,0, 0%,3733, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1166,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_1.u_ibp_dw32_in_3_ibp512toibp32
1,mss_bus_switch_ibpw2ibpn_0000,5003, 1%,2998, 1%,1, 1%,0, 0%,3995, 1%,0, 0%,0, 0%,3733, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1166,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_0.u_ibp_dw32_in_3_ibp512toibp32.x_w_gt_y_w_u_ibpw2ibpn
1,mss_bus_switch_ibpx2ibpy_0001,5003, 1%,2998, 1%,1, 1%,0, 0%,3995, 1%,0, 0%,0, 0%,3733, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1166,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_0.u_ibp_dw32_in_3_ibp512toibp32
1,mss_bus_switch_ibpw2ibpn_0000,4992, 1%,2983, 1%,1, 1%,0, 0%,3979, 1%,0, 0%,0, 0%,3718, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1165,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_6.u_ibp_dw32_in_3_ibp512toibp32.x_w_gt_y_w_u_ibpw2ibpn
1,mss_bus_switch_ibpx2ibpy_0001,4992, 1%,2983, 1%,1, 1%,0, 0%,3979, 1%,0, 0%,0, 0%,3718, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1165,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_6.u_ibp_dw32_in_3_ibp512toibp32
1,mss_bus_switch_ibpw2ibpn_0000,4992, 1%,2983, 1%,1, 1%,0, 0%,3979, 1%,0, 0%,0, 0%,3718, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1165,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_3.u_ibp_dw32_in_3_ibp512toibp32.x_w_gt_y_w_u_ibpw2ibpn
1,mss_bus_switch_ibpx2ibpy_0001,4992, 1%,2983, 1%,1, 1%,0, 0%,3979, 1%,0, 0%,0, 0%,3718, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1165,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_3.u_ibp_dw32_in_3_ibp512toibp32
1,mss_bus_switch_dw512_slv,5528, 1%,1627, 1%,1, 1%,0, 0%,1980, 1%,0, 0%,0, 0%,1850, 1%,0, 0%,0, 0%,0, 0%,0, 0%,4229,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_slv_3
1,mss_bus_switch_ibpw2ibpn_0001,3592, 1%,1877, 1%,1, 1%,0, 0%,2847, 1%,0, 0%,0, 0%,2660, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1201,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_5.u_ibp_dw64_in_3_ibp512toibp64.x_w_gt_y_w_u_ibpw2ibpn
1,mss_bus_switch_ibpx2ibpy_0001_0000,3592, 1%,1877, 1%,1, 1%,0, 0%,2847, 1%,0, 0%,0, 0%,2660, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1201,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_5.u_ibp_dw64_in_3_ibp512toibp64
1,mss_bus_switch_ibp_split_0000_0000,4373, 1%,1350, 1%,1, 1%,0, 0%,1650, 1%,0, 0%,0, 0%,1542, 1%,0, 0%,0, 0%,0, 0%,0, 0%,4230,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_slv_3.u_mid_ibp_splitter
1,mss_bus_switch_ibpw2ibpn_0002,2301, 1%,1240, 1%,1, 1%,0, 0%,2210, 1%,0, 0%,0, 0%,2065, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1272,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_7.u_ibp_dw128_in_3_ibp512toibp128.x_w_gt_y_w_u_ibpw2ibpn
1,mss_bus_switch_ibpx2ibpy_0001_0001,2301, 1%,1240, 1%,1, 1%,0, 0%,2210, 1%,0, 0%,0, 0%,2065, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1272,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_7.u_ibp_dw128_in_3_ibp512toibp128
1,rl_dmp,4331, 1%,1413, 1%,1, 1%,0, 0%,816, 1%,0, 0%,0, 0%,796, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1377,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top.u_rl_core.u_rl_dmp
1,rl_dmp,4319, 1%,1401, 1%,1, 1%,0, 0%,814, 1%,0, 0%,0, 0%,760, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1342,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top.u_rl_core.u_rl_dmp
1,rl_ifu,3330, 1%,1282, 1%,1, 1%,0, 0%,900, 1%,0, 0%,0, 0%,941, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1231,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top.u_rl_core.u_rl_ifu
1,rl_ifu,3294, 1%,1246, 1%,1, 1%,0, 0%,893, 1%,0, 0%,0, 0%,834, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1194,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top.u_rl_core.u_rl_ifu
1,mss_bus_switch_ibp_compr_0000_0001,2278, 1%,825, 1%,1, 1%,0, 0%,1244, 1%,0, 0%,0, 0%,1162, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1007,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_7.u_cming_ibp_compr
1,rl_csr,2481, 1%,930, 1%,1, 1%,0, 0%,846, 1%,0, 0%,0, 0%,790, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1419,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top.u_rl_core.u_rl_exu.u_rl_csr
1,rl_csr,2481, 1%,930, 1%,1, 1%,0, 0%,846, 1%,0, 0%,0, 0%,790, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1419,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top.u_rl_core.u_rl_exu.u_rl_csr
1,zemi3OutPortBuffer_169_4096_24,366, 1%,2, 1%,0, 0%,0, 0%,4091, 1%,0, 0%,0, 0%,0, 0%,0, 0%,0, 0%,0, 0%,0, 0%,4119,zebu_top.zebu_time_capture.zebu_sendtime_portbuffer
1,mss_bus_switch_ibp2ibps,1912, 1%,399, 1%,1, 1%,0, 0%,1103, 1%,0, 0%,0, 0%,1030, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1166,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_7.u_ibp_dw128_in_3__ibp2ibps
1,mss_bus_switch_ibp2ibps,1905, 1%,399, 1%,1, 1%,0, 0%,1103, 1%,0, 0%,0, 0%,1030, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1160,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_5.u_ibp_dw64_in_3__ibp2ibps
1,mss_bus_switch_ibp2ibps,1901, 1%,397, 1%,1, 1%,0, 0%,1103, 1%,0, 0%,0, 0%,1030, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1156,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_2.u_ibp_dw32_in_3__ibp2ibps
1,mss_bus_switch_ibp2ibps,1901, 1%,397, 1%,1, 1%,0, 0%,1103, 1%,0, 0%,0, 0%,1030, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1156,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_1.u_ibp_dw32_in_3__ibp2ibps
1,mss_bus_switch_ibp2ibps,1901, 1%,397, 1%,1, 1%,0, 0%,1103, 1%,0, 0%,0, 0%,1030, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1156,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_0.u_ibp_dw32_in_3__ibp2ibps
1,mss_bus_switch_ibp2ibps,1894, 1%,399, 1%,1, 1%,0, 0%,1103, 1%,0, 0%,0, 0%,1030, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1149,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_6.u_ibp_dw32_in_3__ibp2ibps
1,mss_bus_switch_ibp2ibps,1893, 1%,399, 1%,1, 1%,0, 0%,1103, 1%,0, 0%,0, 0%,1030, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1148,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_3.u_ibp_dw32_in_3__ibp2ibps
