Nb_FPGA,Module,REG%,REG,LUT%,LUT,RAMLUT%,RAMLUT,LUT6%,LUT6,MUXCY%,MUXCY,BRAM%,BRAM,URAM%,URAM,DSP%,DSP,IOs,Path
1,zcahsrash, 3%,7541, 5%,19929, 0%,0, 5%,4380, 0%,0, 7%,10, 0%,0,100%,2,11136,fx_top.design.U0_M0_F1.U0_M0_F1_core.zcahsrash
1,rash_zpt_wrapper_0, 2%,4768, 2%,8463, 0%,0, 1%,8, 0%,0, 2%,2, 0%,0,100%,2,1586,fx_top.design.U0_M0_F1.U0_M0_F1_core.zcahsrash.zins_rash.wrapper
1,rash, 2%,4768, 2%,8463, 0%,0, 1%,8, 0%,0, 2%,2, 0%,0,100%,2,1426,fx_top.design.U0_M0_F1.U0_M0_F1_core.zcahsrash.zins_rash
1,zebu_axi_xtor,17%,56324,10%,39892,24%,4800, 2%,1121,38%,3,16%,24, 0%,0, 0%,0,26568,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.izebu_axi_xtor
1,xtor_amba_master_axi3_svs,17%,56322,10%,39892,24%,4800, 2%,1121,38%,3,16%,24, 0%,0, 0%,0,26569,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.izebu_axi_xtor.master_node_i
1,rash_downstream_sib_8b7a7be2, 1%,1405, 1%,1236, 0%,0, 1%,1, 0%,0, 2%,2, 0%,0,100%,2,681,fx_top.design.U0_M0_F1.U0_M0_F1_core.zcahsrash.zins_rash.wrapper.rash_downstream_sib_0
1,rash_downstream_sib_decoder_e800465e, 1%,553, 1%,10, 0%,0, 0%,0, 0%,0, 2%,2, 0%,0,100%,2,588,fx_top.design.U0_M0_F1.U0_M0_F1_core.zcahsrash.zins_rash.wrapper.rash_downstream_sib_0.rash_downstream_sib_decoder_0
1,rash_downstream_sib_decoder_div_40c786a7, 1%,5, 0%,0, 0%,0, 0%,0, 0%,0, 1%,1, 0%,0,100%,2,31,fx_top.design.U0_M0_F1.U0_M0_F1_core.zcahsrash.zins_rash.wrapper.rash_downstream_sib_0.rash_downstream_sib_decoder_0.rash_downstream_sib_decoder_div_0
1,qiwc_ip_cluster, 4%,13639, 9%,37959, 6%,1092,36%,33807, 0%,0,22%,33, 0%,0, 0%,0,1050224,fx_top.wc_ip_top.wrapper.qiwc_ip_cluster
1,fwc_ip_hs_cluster, 5%,15896, 7%,29802,47%,9249, 8%,7425, 0%,0, 0%,0, 0%,0, 0%,0,12493,fx_top.wc_ip_top.wrapper.fwc_ip_hs_cluster_32[0]
1,reserved_scope_fpga_sram_0002_ZMEM_mem_r, 8%,26746, 7%,30693, 0%,0, 1%,480,13%,1, 0%,0,33%,32, 0%,0,220,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_iccm0_even.u_iccm0_sram.mem_r
1,reserved_scope_fpga_sram_0002_0000_ZMEM_me...(1)*, 8%,26746, 7%,30693, 0%,0, 1%,480,13%,1, 0%,0,33%,32, 0%,0,220,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_even.u_DCCM_sram.mem_r
1,reserved_scope_fpga_sram_0002_0000_ZMEM_me...(2)*, 8%,26746, 7%,30693, 0%,0, 1%,480,13%,1, 0%,0,33%,32, 0%,0,220,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_odd.u_DCCM_sram.mem_r
1,iccm0_ram, 8%,26763, 7%,30693, 0%,0, 1%,480,13%,1, 0%,0,33%,32, 0%,0,238,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_iccm0_even
1,fpga_sram_0002_0000_0, 8%,26763, 7%,30693, 0%,0, 1%,480,13%,1, 0%,0,33%,32, 0%,0,238,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_even.u_DCCM_sram
1,fpga_sram_0002_0000, 8%,26763, 7%,30693, 0%,0, 1%,480,13%,1, 0%,0,33%,32, 0%,0,238,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_odd.u_DCCM_sram
1,fpga_sram_0002, 8%,26763, 7%,30693, 0%,0, 1%,480,13%,1, 0%,0,33%,32, 0%,0,238,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_iccm0_even.u_iccm0_sram
1,dccm_ram_0, 8%,26763, 7%,30693, 0%,0, 1%,480,13%,1, 0%,0,33%,32, 0%,0,238,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_even
1,dccm_ram, 8%,26763, 7%,30693, 0%,0, 1%,480,13%,1, 0%,0,33%,32, 0%,0,238,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_odd
1,reserved_scope_fpga_sram_0002_ZMEM_mem_r_b...(3)*, 8%,26560, 7%,30568, 0%,0, 1%,480, 0%,0, 0%,0,33%,32, 0%,0,199,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_iccm0_even.u_iccm0_sram.mem_r.memory_base
1,reserved_scope_fpga_sram_0002_0000_ZMEM_me...(4)*, 8%,26560, 7%,30568, 0%,0, 1%,480, 0%,0, 0%,0,33%,32, 0%,0,199,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_even.u_DCCM_sram.mem_r.memory_base
1,reserved_scope_fpga_sram_0002_0000_ZMEM_me...(5)*, 8%,26560, 7%,30568, 0%,0, 1%,480, 0%,0, 0%,0,33%,32, 0%,0,199,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.iarchipelago.iesrams_rl_srams.u_dccm_odd.u_DCCM_sram.mem_r.memory_base
1,alb_mss_mem, 9%,28571, 5%,19364,15%,2815, 1%,683, 0%,0,21%,31, 0%,0, 0%,0,9250,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_mem
1,zrm_1d_268435456x128_mask00000001, 7%,24277, 5%,18751,15%,2815, 1%,647, 0%,0,18%,26, 0%,0, 0%,0,1062,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst.u_alb_mss_mem_ram.mem_r.i_ZRM
1,reserved_scope_alb_mss_fpga_sram_0000_ZMEM...(6)*, 7%,24279, 5%,18751,15%,2815, 1%,647, 0%,0,18%,26, 0%,0, 0%,0,1170,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst.u_alb_mss_mem_ram.mem_r
1,alb_mss_mem_model, 7%,24611, 5%,18756,15%,2815, 1%,647, 0%,0,18%,26, 0%,0, 0%,0,1116,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst
1,alb_mss_fpga_sram_0000, 7%,24611, 5%,18756,15%,2815, 1%,647, 0%,0,18%,26, 0%,0, 0%,0,1115,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst.u_alb_mss_mem_ram
1,zz_Encrypt_5, 3%,10004, 4%,14506,10%,1908, 1%,13,13%,1,12%,18, 0%,0, 0%,0,9140,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.izebu_axi_xtor.master_node_i.sqnod21802
1,zz_Encrypt_6, 3%,9964, 4%,13821,10%,1908, 1%,12,13%,1,12%,18, 0%,0, 0%,0,9126,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.izebu_axi_xtor.master_node_i.sqnod21802.sqnod1818
1,f01_ddr4_ctrl_128x1024_0, 5%,16134, 3%,12480, 9%,1785, 1%,390, 0%,0,18%,26, 0%,0, 0%,0,5289,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst.u_alb_mss_mem_ram.mem_r.i_ZRM.ctrl
1,ddr4_ctrl_sodimm_1024x27_VU19P_with_bufg_4, 5%,16134, 3%,12480, 9%,1785, 1%,390, 0%,0,18%,26, 0%,0, 0%,0,5480,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst.u_alb_mss_mem_ram.mem_r.i_ZRM.ctrl.wrapper
1,fx_macro_zs5_12c_f01_zero_DEVICE_8P_DATARA...(7)*, 3%,9911, 2%,7421, 1%,64, 2%,1683, 0%,0,19%,28, 0%,0, 0%,0,2254,fx_top.design.zkprctrl.wrapper
1,f01_fx_macro_bitslice, 3%,9911, 2%,7421, 1%,64, 2%,1683, 0%,0,19%,28, 0%,0, 0%,0,1616,fx_top.design.zkprctrl
1,reserved_scope_zz_Encrypt_6_ZMEM_0, 1%,1287, 1%,680, 0%,0, 0%,0,13%,1,12%,18, 0%,0, 0%,0,1260,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.izebu_axi_xtor.master_node_i.sqnod21802.sqnod1818.sqnod845601
1,wc_ctrl_l2_48d96854, 2%,6537, 2%,5847, 1%,9, 4%,3016, 0%,0,17%,25, 0%,0, 0%,0,5495,fx_top.wc_ip_top.wrapper.wc_ctrl_l2
1,ddr4_ctrl_sodimm_1024x27_VU19P_with_bufg_l...(8)*, 3%,10258, 2%,6069, 1%,9, 1%,377, 0%,0,18%,26, 0%,0, 0%,0,3086,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst.u_alb_mss_mem_ram.mem_r.i_ZRM.ctrl.wrapper.ddr4_ctrl_systemif_0
1,prdbox_wrapper, 5%,16835, 7%,27802, 3%,536, 8%,7346, 0%,0, 0%,0, 0%,0, 0%,0,15374,fx_top.design.U0_M0_F1.U0_M0_F1_core.prdbox_wrapper
1,sib_master_cahsab_word_en_DEVICE_8_APP_DWI...(9)*, 1%,3185, 1%,1858, 1%,9, 1%,329, 0%,0,17%,25, 0%,0, 0%,0,660,fx_top.wc_ip_top.wrapper.wc_ctrl_l2.sib_master_cahsab.u_xst_wrapper_0
1,sib_master_cahsab_word_en_4e803d0b, 1%,3185, 1%,1858, 1%,9, 1%,329, 0%,0,17%,25, 0%,0, 0%,0,660,fx_top.wc_ip_top.wrapper.wc_ctrl_l2.sib_master_cahsab
1,sib_master_cahsab_word_en_DEVICE_8_APP_DWI...(10)*, 1%,3185, 1%,2027, 1%,9, 1%,117, 0%,0,17%,25, 0%,0, 0%,0,660,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst.u_alb_mss_mem_ram.mem_r.i_ZRM.ctrl.wrapper.ddr4_ctrl_systemif_0.sib_master_cahsab_word_en_0.u_xst_wrapper_0
1,ddr4_ctrl_sodimm_1024x27_VU19P_with_bufg_l...(11)*, 1%,3185, 1%,2027, 1%,9, 1%,117, 0%,0,17%,25, 0%,0, 0%,0,660,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst.u_alb_mss_mem_ram.mem_r.i_ZRM.ctrl.wrapper.ddr4_ctrl_systemif_0.sib_master_cahsab_word_en_0
1,sib_master_cahsab_core_b1e5b73c, 1%,2974, 1%,1708, 1%,9, 1%,241, 0%,0,17%,25, 0%,0, 0%,0,774,fx_top.wc_ip_top.wrapper.wc_ctrl_l2.sib_master_cahsab.u_xst_wrapper_0.sib_master_cahsab_core
1,sib_master_cahsab_core_344b5ddc, 1%,2974, 1%,1877, 1%,9, 1%,29, 0%,0,17%,25, 0%,0, 0%,0,774,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst.u_alb_mss_mem_ram.mem_r.i_ZRM.ctrl.wrapper.ddr4_ctrl_systemif_0.sib_master_cahsab_word_en_0.u_xst_wrapper_0.sib_master_cahsab_core
1,sib_master_cahsab_fifo_954573ec, 1%,2366, 1%,1208, 1%,9, 1%,66, 0%,0,17%,25, 0%,0, 0%,0,559,fx_top.wc_ip_top.wrapper.wc_ctrl_l2.sib_master_cahsab.u_xst_wrapper_0.sib_master_cahsab_core.sib_master_cahsab_fifo
1,sib_master_cahsab_fifo_10eb990c, 1%,2366, 1%,1223, 1%,9, 1%,27, 0%,0,17%,25, 0%,0, 0%,0,559,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst.u_alb_mss_mem_ram.mem_r.i_ZRM.ctrl.wrapper.ddr4_ctrl_systemif_0.sib_master_cahsab_word_en_0.u_xst_wrapper_0.sib_master_cahsab_core.sib_master_cahsab_fifo
1,alb_mss_fab,17%,57586, 1%,727, 0%,0, 0%,0, 0%,0, 0%,0, 0%,0, 0%,0,89817,fx_top.design.U0_M0_F1.U0_M0_F1_core.core_chip_dut.icore_sys.ialb_mss_fab
