






                                    ZeBu (R)
                                      zPar

            Version S-2021.09-T-20240508 for linux64 - May 08, 2024 

                    Copyright (c) 2002 - 2024 Synopsys, Inc.
   This software and the associated documentation are proprietary to Synopsys,
 Inc. This software may only be used in accordance with the terms and conditions
 of a written license agreement with Synopsys, Inc. All other use, reproduction,
   or distribution of this software is strictly prohibited.  Licensed Products
     communicate with Synopsys servers for the purpose of providing software
    updates, detecting software piracy and verifying that customers are using
    Licensed Products in conformity with the applicable License Key for such
  Licensed Products. Synopsys will use information gathered in connection with
    this process to deliver software updates and pursue software pirates and
                                   infringers.

 Inclusivity & Diversity - Visit SolvNetPlus to read the "Synopsys Statement on
            Inclusivity and Diversity" (Refer to article 000036315 at
                        https://solvnetplus.synopsys.com)

# zPar zPar_zCui.tcl 

# start time is Tue May 13 18:37:31 2025




# Build Date : May  7 2024 - 21:36:47
# ---------------------------System Context--------------------------- 
# Cpu        32 x bogomips - 4499.99 AMD EPYC 9754 128-Core Processor
#            Load: 6.36 6.15 7.01 6/811 4058667
#            Hostname: zebutrain-4761-004   OS: Linux 4.18.0-425.3.1.el8.x86_64
# Memory     Total: 261706 MB Free: 201142 MB
#            Swap space: 53247 MB Free Swap space: 51534 MB
#            VmSize: 294 MB VmPeak: 294 MB
# Disk Space Total: 5000 GB Available: 554 GB Used: 4446 GB
#            Free inodes: 11763120
# Stack                                Soft Limit           Hard Limit  
#            Max stack size            unlimited            unlimited            bytes     
# -------------------------------------------------------------------- 





Table of content:
-----------------


 1.Detailed_execution time and Memory Footprint
 2.KTIM_WARNING_SECTION
 3.KTIM_ECHO_SECTION
 4.KPR_WARNING_SECTION
 5.KPR_ECHO_SECTION
 6.KPR_FALSEPATH_SECTION
 7.KPR_LOGCOMMAND_SECTION
 8.ZAP_WARNING_SECTION


======================================================================================================





 1.Detailed_execution time and Memory Footprint
 ==============================================


  Cpu performance: 98.19%

  Cpu performance displays the performance of the CPU on which zTopBuild is started compared to a reference machin.
  A positive number will indicate a CPU faster than our reference one.

  
# ---------------------------System Context--------------------------- 
# Cpu        32 x bogomips - 4499.99 AMD EPYC 9754 128-Core Processor
#            Load: 6.36 6.15 7.01 6/811 4058667
#            Hostname: zebutrain-4761-004   OS: Linux 4.18.0-425.3.1.el8.x86_64
# Memory     Total: 261706 MB Free: 201434 MB
#            Swap space: 53247 MB Free Swap space: 51534 MB
#            VmSize: 382 MB VmPeak: 382 MB
# Disk Space Total: 5000 GB Available: 554 GB Used: 4446 GB
#            Free inodes: 11763117
# Stack                                Soft Limit           Hard Limit  
#            Max stack size            unlimited            unlimited            bytes     
# -------------------------------------------------------------------- 


  In the section below, 
    load : 1 minute load average
    fm   : FreeMemory
    vm   : VirtualMemory
    um   : UsedMemory


Reset time counter
   3    elapsed:0.13 s    user:0.9 s      system:0 s      %cpu:72.18       load:6.36       fm:201451 m      vm:634 m      vm:+41 m      um:207 m      um:+28 m zPar/Merge/loadDB
  20     elapsed:0.1 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201283 m      vm:950 m       vm:+0 m      um:281 m       um:+4 m zPar/Place/buildDatabaseForPlaceAndRoute/timing_evaluator_init/IMPORT/Load_Graph_Input_DB
  20     elapsed:0.1 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201283 m      vm:950 m       vm:+0 m      um:281 m       um:+4 m zPar/Place/buildDatabaseForPlaceAndRoute/timing_evaluator_init/IMPORT
  22     elapsed:0.2 s    user:0.1 s      system:0 s      %cpu:34.78       load:6.36       fm:201269 m      vm:950 m       vm:+0 m      um:292 m      um:+11 m zPar/Place/buildDatabaseForPlaceAndRoute/timing_evaluator_init/IMPORT/Load_Graph_Input_DB
  22     elapsed:0.3 s    user:0.1 s      system:0 s      %cpu:31.68       load:6.36       fm:201262 m      vm:953 m       vm:+3 m      um:299 m      um:+18 m zPar/Place/buildDatabaseForPlaceAndRoute/timing_evaluator_init/IMPORT
  22    elapsed:0.27 s   user:0.11 s    system:0.1 s      %cpu:45.34       load:6.36       fm:201262 m      vm:953 m     vm:+307 m      um:299 m      um:+63 m zPar/Place/buildDatabaseForPlaceAndRoute/timing_evaluator_init
  23       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201262 m      vm:953 m       vm:+0 m      um:299 m       um:+0 m zPar/Place/buildDatabaseForPlaceAndRoute/setIfPorts
  24       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201262 m      vm:953 m       vm:+0 m      um:299 m       um:+0 m zPar/Place/buildDatabaseForPlaceAndRoute/buildwireTargetContainer
  24    elapsed:0.27 s   user:0.11 s    system:0.1 s      %cpu:44.96       load:6.36       fm:201262 m      vm:953 m     vm:+307 m      um:299 m      um:+63 m zPar/Place/buildDatabaseForPlaceAndRoute
  25       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201256 m      vm:953 m       vm:+0 m      um:299 m       um:+0 m zPar/Place/translateUserPlaceConstr
  26       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201250 m      vm:953 m       vm:+0 m      um:300 m       um:+1 m zPar/Place/InitPhyConnects
  27       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201250 m      vm:953 m       vm:+0 m      um:300 m       um:+0 m zPar/Place/initPlace_true
  28       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201250 m      vm:953 m       vm:+0 m      um:300 m       um:+0 m zPar/Place/fillNoHopFpgaSet
  29       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201250 m      vm:953 m       vm:+0 m      um:300 m       um:+0 m zPar/Place/getCurrentPlacement
  29    elapsed:0.30 s   user:0.11 s    system:0.1 s      %cpu:40.76       load:6.36       fm:201250 m      vm:953 m     vm:+307 m      um:300 m      um:+64 m zPar/Place
  36       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./guaranteeArcOrderForNode.
  37       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./addClockDomainForFetchMode.
  38       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./resolveMemoryReferences.
  39       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./_buildPrimarySet.
  40       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./_searchAndTagLoop.
  41       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./_sortTopological.
  42       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./handleFalsePath.
  43       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./initializeGraph.
  44       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./populateToBackAnnotationDB.
  45       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./backAnnotate.
  46       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./ktim_delay_estimation::postProcess.
  47       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./_buildPrimarySet.
  48       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./_sortTopological.
  49       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./_reverseSortTopological.
  50       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./topologicalSortClockCone.
  51       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis./topologicalSortDataCone.
  51       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./initializeAnalysis.
  52       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./storeLoopArc.
  53       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath./recordAnnotatedDelay.
  53       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1126 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/initFalsePath.
  54       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201019 m     vm:1162 m      vm:+36 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/clockRangeAnalysisPreProcess.
  55       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201018 m     vm:1186 m      vm:+16 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/propagateTargetClockDomain.
  56       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201018 m     vm:1186 m       vm:+0 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/clockRangeAnalysisMain.
  57       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201018 m     vm:1222 m      vm:+36 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction/staticClockDomainReductionSDF_main.
  57       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201018 m     vm:1222 m      vm:+96 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./Static_clock_domain_reduction
  58       elapsed:0 s    user:0.1 s      system:0 s       %cpu:0.00       load:6.36       fm:201018 m     vm:1234 m      vm:+12 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./propagate_without_feedbackmcp
  59       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201018 m     vm:1246 m      vm:+12 m      um:476 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./propagate_with_feedbackmcp
  60       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201018 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init./0_timing_evaluator_base_analysis
  60       elapsed:0 s    user:0.1 s      system:0 s     %cpu:228.57       load:6.36       fm:201018 m     vm:1246 m     vm:+120 m      um:477 m       um:+1 m zPar/Route/RouterInitializationStep./RouterInitializationStep_timer_init.
  60       elapsed:0 s    user:0.2 s      system:0 s     %cpu:304.76       load:6.36       fm:201018 m     vm:1246 m     vm:+120 m      um:477 m       um:+1 m zPar/Route/RouterInitializationStep.
  62       elapsed:0 s      user:0 s    system:0.1 s    %cpu:1066.67       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/eZCRStep./1_timing_evaluator_base_analysis
  63       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/eZCRStep./2_timing_evaluator_base_analysis
  63     elapsed:0.5 s    user:0.2 s    system:0.1 s      %cpu:64.43       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/eZCRStep.
  65       elapsed:0 s    user:0.1 s      system:0 s    %cpu:3200.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./3_timing_evaluator_base_analysis
  67       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./guaranteeArcOrderForNode.
  68       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./_buildPrimarySet.
  69       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./_sortTopological.
  70       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./handleFalsePath.
  71       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./initializeGraph.
  72       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./populateToBackAnnotationDB.
  73       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./backAnnotate.
  74       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./ktim_delay_estimation::postProcess.
  75       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./_reverseSortTopological.
  76       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./topologicalSortClockCone.
  77       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./topologicalSortDataCone.
  77       elapsed:0 s    user:0.1 s      system:0 s     %cpu:533.33       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt.
  78       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./4_timing_evaluator_base_analysis
  79       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./TDFDR_OPT::generateTimingConstraints
  80       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./TDFDR_OPT::generateIndependentConstraintSets
  81       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./TDFDR_OPT::solveConstraintSets
  83       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./guaranteeArcOrderForNode.
  84       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./_buildPrimarySet.
  85       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./_sortTopological.
  86       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./handleFalsePath.
  87       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./initializeGraph.
  88       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./populateToBackAnnotationDB.
  89       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./backAnnotate.
  90       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./ktim_delay_estimation::postProcess.
  91       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./_reverseSortTopological.
  92       elapsed:0 s      user:0 s      system:0 s       %cpu:0.00       load:6.36       fm:201015 m     vm:1246 m       vm:+0 m      um:477 m       um:+0 m zPar/Route/FilterDataRelocationOptimizationRouterStep./initializeAnalysisAfterFilterDataRelocationOpt./topologicalSortClockCone.
