Hierarchy Properties
Path,Module,LUT,LUT6,RAM,URAM,REG,DSP,RAMLUT,FWC_IP_NUM,FWC_IP_BITS,QIWC_IP_BITS,READ_PORT_IPS,READ_PORT_BITS,WRITE_PORT_IPS,WRITE_PORT_BITS,ZC_TRACE_BIT,ZCEI_MESSAGE_INPUT,ZCEI_MESSAGE_OUTPUT,FW_RESOURCES,ZPRD_BB,ZFORCE,ZVIEW,ZRM_SLOTS,ZRM_PORTS,Nb_connected_IOs,Wire_density
zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top.u_rl_core,rl_core,28724,12786,2,0,7871,0,0,0,0,7296,0,0,0,0,0,0,0,0,0,0,0,0,0,1634,0.7384
zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top.u_rl_core,rl_core,29160,12866,2,0,8233,0,0,0,320,7439,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,0.7062
zebu_top.core_chip_dut.icore_sys.ialb_mss_dummy_slave.i2_axi_slave.slave_xtor.sqnod12755,zz_Encrypt_5,27621,10803,50,0,82161,0,23808,0,0,187,0,0,0,0,0,128,0,0,0,0,0,0,0,208,0.8920
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_7.u_cming_ibp_compr,mss_bus_switch_ibp_compr_0000_0001,2278,825,1,0,1244,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,0.6291
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_7.u_ibp_dw128_in_3_ibp512toibp128,mss_bus_switch_ibpx2ibpy_0001_0001,2301,1240,1,0,2210,0,0,0,0,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,1272,0.0000
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_7.u_ibp_dw128_in_3__ibp2ibps,mss_bus_switch_ibp2ibps,1912,399,1,0,1103,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,0.0082
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_6.u_ibp_dw32_in_3_ibp512toibp32,mss_bus_switch_ibpx2ibpy_0001,4992,2983,1,0,3979,0,0,0,0,3718,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,0.0000
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_6.u_ibp_dw32_in_3__ibp2ibps,mss_bus_switch_ibp2ibps,1894,399,1,0,1103,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,0.0083
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_5.u_ibp_dw64_in_3_ibp512toibp64,mss_bus_switch_ibpx2ibpy_0001_0000,3592,1877,1,0,2847,0,0,0,0,2660,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,0.0000
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_5.u_ibp_dw64_in_3__ibp2ibps,mss_bus_switch_ibp2ibps,1905,399,1,0,1103,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0.0083
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_3.u_ibp_dw32_in_3_ibp512toibp32,mss_bus_switch_ibpx2ibpy_0001,4992,2983,1,0,3979,0,0,0,0,3718,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,0.0000
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_3.u_ibp_dw32_in_3__ibp2ibps,mss_bus_switch_ibp2ibps,1893,399,1,0,1103,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,0.0083
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_2.u_ibp_dw32_in_3_ibp512toibp32,mss_bus_switch_ibpx2ibpy_0001,5003,2998,1,0,3995,0,0,0,0,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,0.0000
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_2.u_ibp_dw32_in_3__ibp2ibps,mss_bus_switch_ibp2ibps,1901,397,1,0,1103,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,0.0071
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_1.u_ibp_dw32_in_3_ibp512toibp32,mss_bus_switch_ibpx2ibpy_0001,5003,2998,1,0,3995,0,0,0,0,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,0.0000
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_1.u_ibp_dw32_in_3__ibp2ibps,mss_bus_switch_ibp2ibps,1901,397,1,0,1103,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,0.0071
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_0.u_ibp_dw32_in_3_ibp512toibp32,mss_bus_switch_ibpx2ibpy_0001,5003,2998,1,0,3995,0,0,0,0,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,0.0000
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_0.u_ibp_dw32_in_3__ibp2ibps,mss_bus_switch_ibp2ibps,1901,397,1,0,1103,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,0.0071
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_slv_3.u_mid_ibp_splitter,mss_bus_switch_ibp_split_0000_0000,4373,1350,1,0,1650,0,0,0,0,1542,0,0,0,0,0,0,0,0,0,0,0,0,0,4230,0.6212
zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top.u_rl_core.u_rl_dmp,rl_dmp,4319,1401,1,0,814,0,0,0,0,760,0,0,0,0,0,0,0,0,0,0,0,0,0,1342,0.6505
zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top.u_rl_core.u_rl_exu,rl_exu,8696,3249,1,0,2879,0,0,0,0,2630,0,0,0,0,0,0,0,0,0,0,0,0,0,1783,0.4584
zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top.u_rl_core.u_rl_ifu,rl_ifu,3294,1246,1,0,893,0,0,0,0,834,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,0.1833
zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top.u_rl_core.u_rl_dmp,rl_dmp,4331,1413,1,0,816,0,0,0,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,0.6481
zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top.u_rl_core.u_rl_exu,rl_exu,8766,3281,1,0,2914,0,0,0,3,2630,0,0,0,0,0,0,0,0,0,0,0,0,0,1857,0.4504
zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top.u_rl_core.u_rl_ifu,rl_ifu,3330,1282,1,0,900,0,0,0,0,941,0,0,0,0,0,0,0,0,0,0,0,0,0,1231,0.1793
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_7.u_ibp_dw128_in_3_ibp512toibp128.x_w_gt_y_w_u_ibpw2ibpn,mss_bus_switch_ibpw2ibpn_0002,2301,1240,1,0,2210,0,0,0,0,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,1272,0.5868
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_6.u_ibp_dw32_in_3_ibp512toibp32.x_w_gt_y_w_u_ibpw2ibpn,mss_bus_switch_ibpw2ibpn_0000,4992,2983,1,0,3979,0,0,0,0,3718,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,0.7759
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_5.u_ibp_dw64_in_3_ibp512toibp64.x_w_gt_y_w_u_ibpw2ibpn,mss_bus_switch_ibpw2ibpn_0001,3592,1877,1,0,2847,0,0,0,0,2660,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,0.7045
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_3.u_ibp_dw32_in_3_ibp512toibp32.x_w_gt_y_w_u_ibpw2ibpn,mss_bus_switch_ibpw2ibpn_0000,4992,2983,1,0,3979,0,0,0,0,3718,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,0.7759
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_2.u_ibp_dw32_in_3_ibp512toibp32.x_w_gt_y_w_u_ibpw2ibpn,mss_bus_switch_ibpw2ibpn_0000,5003,2998,1,0,3995,0,0,0,0,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,0.7743
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_1.u_ibp_dw32_in_3_ibp512toibp32.x_w_gt_y_w_u_ibpw2ibpn,mss_bus_switch_ibpw2ibpn_0000,5003,2998,1,0,3995,0,0,0,0,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,0.7743
zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_0.u_ibp_dw32_in_3_ibp512toibp32.x_w_gt_y_w_u_ibpw2ibpn,mss_bus_switch_ibpw2ibpn_0000,5003,2998,1,0,3995,0,0,0,0,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,0.7743
zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top.u_rl_core.u_rl_exu.u_rl_csr,rl_csr,2481,930,1,0,846,0,0,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0.6061
zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top.u_rl_core.u_rl_exu.u_rl_csr,rl_csr,2481,930,1,0,846,0,0,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0.6061
